时间(s)	Roll(°)	Pitch(°)	Yaw(°)	Servo1	Servo2	Servo3	Servo4
48	0.35	0.27	130.93	1100	1100	1100	1100
48	0.33	0.30	131.27	1100	1100	1100	1100
49	0.33	0.30	131.27	1100	1100	1100	1100
49	0.33	0.30	131.27	1100	1100	1100	1100
49	0.33	0.30	131.27	1100	1100	1100	1100
49	0.33	0.30	131.27	1100	1100	1100	1100
49	0.33	0.30	131.27	1100	1100	1100	1100
49	0.33	0.30	131.27	1100	1100	1100	1100
49	0.33	0.30	131.27	1100	1100	1100	1100
49	0.33	0.30	131.27	1100	1100	1100	1100
49	0.32	0.29	131.58	1100	1100	1100	1100
49	0.32	0.29	131.58	1100	1100	1100	1100
50	0.32	0.29	131.58	1100	1100	1100	1100
50	0.32	0.29	131.58	1100	1100	1100	1100
50	0.32	0.29	131.58	1100	1100	1100	1100
50	0.32	0.29	131.58	1100	1100	1100	1100
50	0.31	0.28	131.89	1100	1100	1100	1100
50	0.31	0.28	131.89	1100	1100	1100	1100
50	0.31	0.28	131.89	1100	1100	1100	1100
50	0.31	0.28	131.89	1100	1100	1100	1100
50	0.31	0.28	131.89	1100	1100	1100	1100
50	0.31	0.28	131.89	1100	1100	1100	1100
51	0.31	0.28	131.89	1100	1100	1100	1100
51	0.31	0.28	131.89	1100	1100	1100	1100
51	0.31	0.28	131.89	1100	1100	1100	1100
51	0.31	0.27	132.21	1184	1184	1184	1184
51	0.31	0.27	132.21	1184	1184	1184	1184
51	0.31	0.27	132.21	1184	1184	1184	1184
51	0.31	0.27	132.21	1184	1184	1184	1184
51	0.31	0.27	132.21	1184	1184	1184	1184
51	0.31	0.27	132.21	1184	1184	1184	1184
51	0.31	0.27	132.21	1184	1184	1184	1184
52	0.29	0.26	132.51	1184	1184	1184	1184
52	0.29	0.26	132.51	1184	1184	1184	1184
52	0.29	0.26	132.51	1184	1184	1184	1184
52	0.29	0.26	132.51	1184	1184	1184	1184
52	0.29	0.26	132.51	1184	1184	1184	1184
52	0.29	0.26	132.51	1184	1184	1184	1184
52	0.29	0.26	132.51	1184	1184	1184	1184
52	0.29	0.26	132.51	1184	1184	1184	1184
52	0.28	0.25	132.78	1184	1184	1184	1184
53	0.28	0.25	132.78	1184	1184	1184	1184
53	0.28	0.25	132.78	1184	1184	1184	1184
53	0.28	0.25	132.78	1184	1184	1184	1184
